,Density Trees,Fine,On fire,Burned
837,0.5823,5251,564,8
838,0.5835,5230,597,8
839,0.5847,5203,636,8
840,0.5859,5178,679,2
841,0.5877,5164,707,6
842,0.5891,5145,736,10
843,0.5901,5134,756,11
844,0.591,5121,778,11
845,0.5919,5114,798,7
846,0.5932,5094,827,11
847,0.5941,5086,843,12
848,0.5949,5049,890,10
849,0.5959,5005,943,11
850,0.5968,4979,978,11
851,0.5977,4954,1017,6
852,0.5991,4917,1059,15
853,0.5996,4875,1108,13
854,0.6003,4840,1150,13
855,0.601,4792,1206,12
856,0.6018,4754,1249,15
857,0.6023,4721,1285,17
858,0.6026,4670,1337,19
859,0.6027,4620,1393,14
860,0.6033,4566,1450,17
861,0.6036,4516,1498,22
862,0.6034,4464,1553,17
863,0.6037,4385,1633,19
864,0.6038,4309,1704,25
865,0.6033,4238,1779,16
866,0.6037,4176,1844,17
867,0.604,4093,1927,20
868,0.604,4045,1972,23
869,0.6037,3959,2059,19
870,0.6038,3884,2135,19
871,0.6039,3809,2207,23
872,0.6036,3758,2252,26
873,0.603,3700,2284,46
874,0.6004,3636,2337,31
875,0.5993,3577,2378,38
876,0.5975,3501,2442,32
877,0.5963,3406,2516,41
878,0.5942,3293,2615,34
879,0.5928,3206,2701,21
880,0.5927,3146,2753,28
881,0.5919,3089,2799,31
882,0.5908,3039,2835,34
883,0.5894,2997,2857,40
884,0.5874,2941,2891,42
885,0.5852,2892,2923,37
886,0.5835,2822,2973,40
887,0.5815,2761,3004,50
888,0.5785,2725,3008,52
889,0.5753,2692,3011,50
890,0.5723,2638,3035,50
891,0.5693,2577,3068,48
892,0.5665,2516,3102,47
893,0.5638,2445,3141,52
894,0.5606,2385,3166,55
895,0.5571,2328,3178,65
896,0.5526,2282,3186,58
897,0.5488,2234,3200,54
898,0.5454,2168,3228,58
899,0.5416,2121,3228,67
900,0.5369,2064,3247,58
901,0.5331,1992,3279,60
902,0.5291,1934,3280,77
903,0.5234,1828,3326,80
904,0.5174,1751,3363,60
905,0.5134,1666,3412,56
906,0.5098,1583,3448,67
907,0.5051,1494,3503,54
908,0.5017,1403,3561,53
909,0.4984,1325,3595,64
910,0.494,1243,3633,64
911,0.4896,1176,3647,73
912,0.4843,1135,3642,66
913,0.4797,1059,3664,74
914,0.4743,995,3692,56
915,0.4707,943,3698,66
916,0.4661,904,3694,63
917,0.4618,858,3688,72
918,0.4566,848,3647,71
919,0.4515,809,3635,71
920,0.4464,795,3614,55
921,0.4429,780,3598,51
922,0.4398,754,3588,56
923,0.4362,741,3557,64
924,0.4318,749,3503,66
925,0.4272,734,3466,72
926,0.422,723,3435,62
927,0.4178,714,3376,88
928,0.411,708,3315,87
929,0.4043,699,3282,62
930,0.4001,717,3221,63
931,0.3958,717,3177,64
932,0.3914,723,3102,89
933,0.3845,726,3064,55
934,0.381,720,3029,61
935,0.3769,731,2956,82
936,0.3707,746,2884,77
937,0.365,737,2836,77
938,0.3593,741,2774,78
939,0.3535,741,2724,70
940,0.3485,748,2682,55
941,0.345,755,2629,66
942,0.3404,767,2562,75
943,0.3349,771,2516,62
944,0.3307,789,2451,67
